"BehaviorSpace results (NetLogo 6.1.1)"
"model.nlogo"
"vary-sv-compliance"
"11/14/2020 21:25:22:197 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","299","0","299"
"[run number]","duration","initial-infected","allow-exogenous-infections?","exogenous-infection","visual-elements?","min-radius","daily-contacts","p-infect-base","asym-infectiousness","lose-immunity?","min-immunity-duration","recovery-mean","recovery-stdev","death-mean","death-stdev","incubation-mean","incubation-stdev","imposed-lockdown?","lockdown-threshold","lockdown-compliance","shield-vulnerable?","shield-threshold","shield-compliance","personal-protections?","protections-threshold","protections-strength","protections-compliance","test-and-trace?","testtrace-threshold","contact-history-length","test-coverage-sym","test-coverage-asym","contacts-traced","isolation-compliance-tested","isolation-compliance-traced","isolation-symptomatics?","isolation-sym-threshold","isolation-compliance-sym","isolation-duration-case","isolation-duration-contact","min-pxcor","min-pycor","max-pxcor","max-pycor","[step]","count susceptibles","count exposeds","count symptomatics","count asymptomatics","count recovereds","count-locked","num-contacts","lockdown-active?","shielding-active?","protections-active?","get-age-bracket-data ""0-18"" ""infected""","get-age-bracket-data ""19-39"" ""infected""","get-age-bracket-data ""40-49"" ""infected""","get-age-bracket-data ""50-59"" ""infected""","get-age-bracket-data ""60-69"" ""infected""","get-age-bracket-data ""70-79"" ""infected""","get-age-bracket-data ""80+"" ""infected""","get-age-bracket-data ""0-18"" ""dead""","get-age-bracket-data ""19-39"" ""dead""","get-age-bracket-data ""40-49"" ""dead""","get-age-bracket-data ""50-59"" ""dead""","get-age-bracket-data ""60-69"" ""dead""","get-age-bracket-data ""70-79"" ""dead""","get-age-bracket-data ""80+"" ""dead"""
"8","1","0.1","true","1","false","2","50","10","30","false","180","20.5","6.7","16","8.21","1.6","1.4","false","4","75","true","0.1","0","false","1","50","100","false","0","7","100","100","100","100","100","false","0","100","7","14","0","0","299","299","0","89910","90","0","0","0","0","0","false","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","1","0.1","true","1","false","2","50","10","30","false","180","20.5","6.7","16","8.21","1.6","1.4","false","4","75","true","0.1","0","false","1","50","100","false","0","7","100","100","100","100","100","false","0","100","7","14","0","0","299","299","1","89910","66","0","24","0","0","269778","false","false","false","3","4","1","4","5","2","5","0","0","0","0","0","0","0"
"8","1","0.1","true","1","false","2","50","10","30","false","180","20.5","6.7","16","8.21","1.6","1.4","false","4","75","true","0.1","0","false","1","50","100","false","0","7","100","100","100","100","100","false","0","100","7","14","0","0","299","299","2","89893","76","0","31","0","0","269778","false","false","false","6","6","2","4","6","2","5","0","0","0","0","0","0","0"
"1","1","0.1","true","1","false","2","50","10","30","false","180","20.5","6.7","16","8.21","1.6","1.4","false","4","75","true","0.1","0","false","1","50","100","false","0","7","100","100","100","100","100","false","0","100","7","14","0","0","299","299","0","89910","90","0","0","0","0","0","false","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","1","0.1","true","1","false","2","50","10","30","false","180","20.5","6.7","16","8.21","1.6","1.4","false","4","75","true","0.1","0","false","1","50","100","false","0","7","100","100","100","100","100","false","0","100","7","14","0","0","299","299","3","89875","84","5","36","0","0","269778","false","false","false","7","10","3","6","6","4","5","0","0","0","0","0","0","0"
"8","1","0.1","true","1","false","2","50","10","30","false","180","20.5","6.7","16","8.21","1.6","1.4","false","4","75","true","0.1","0","false","1","50","100","false","0","7","100","100","100","100","100","false","0","100","7","14","0","0","299","299","4","89850","95","10","45","0","0","269778","false","false","false","11","13","6","7","6","7","5","0","0","0","0","0","0","0"
"1","1","0.1","true","1","false","2","50","10","30","false","180","20.5","6.7","16","8.21","1.6","1.4","false","4","75","true","0.1","0","false","1","50","100","false","0","7","100","100","100","100","100","false","0","100","7","14","0","0","299","299","1","89910","57","0","33","0","0","269660","false","false","false","4","11","7","6","3","2","0","0","0","0","0","0","0","0"
"8","1","0.1","true","1","false","2","50","10","30","false","180","20.5","6.7","16","8.21","1.6","1.4","false","4","75","true","0.1","0","false","1","50","100","false","0","7","100","100","100","100","100","false","0","100","7","14","0","0","299","299","5","89827","105","20","48","0","0","269778","false","false","false","17","15","7","8","8","7","6","0","0","0","0","0","0","0"
"1","1","0.1","true","1","false","2","50","10","30","false","180","20.5","6.7","16","8.21","1.6","1.4","false","4","75","true","0.1","0","false","1","50","100","false","0","7","100","100","100","100","100","false","0","100","7","14","0","0","299","299","2","89886","73","0","41","0","0","269660","false","false","false","5","13","10","7","3","3","0","0","0","0","0","0","0","0"
"8","1","0.1","true","1","false","2","50","10","30","false","180","20.5","6.7","16","8.21","1.6","1.4","false","4","75","true","0.1","0","false","1","50","100","false","0","7","100","100","100","100","100","false","0","100","7","14","0","0","299","299","6","89787","124","25","64","0","0","269778","false","false","false","21","18","10","12","11","9","8","0","0","0","0","0","0","0"
"1","1","0.1","true","1","false","2","50","10","30","false","180","20.5","6.7","16","8.21","1.6","1.4","false","4","75","true","0.1","0","false","1","50","100","false","0","7","100","100","100","100","100","false","0","100","7","14","0","0","299","299","3","89866","81","4","49","0","0","269660","false","false","false","6","16","11","12","4","4","0","0","0","0","0","0","0","0"
"8","1","0.1","true","1","false","2","50","10","30","false","180","20.5","6.7","16","8.21","1.6","1.4","false","4","75","true","0.1","0","false","1","50","100","false","0","7","100","100","100","100","100","false","0","100","7","14","0","0","299","299","7","89747","151","33","69","0","0","269778","false","false","false","22","21","12","13","14","11","9","0","0","0","0","0","0","0"
"1","1","0.1","true","1","false","2","50","10","30","false","180","20.5","6.7","16","8.21","1.6","1.4","false","4","75","true","0.1","0","false","1","50","100","false","0","7","100","100","100","100","100","false","0","100","7","14","0","0","299","299","4","89837","99","15","49","0","0","269660","false","false","false","7","19","14","14","4","6","0","0","0","0","0","0","0","0"
"8","1","0.1","true","1","false","2","50","10","30","false","180","20.5","6.7","16","8.21","1.6","1.4","false","4","75","true","0.1","0","false","1","50","100","false","0","7","100","100","100","100","100","false","0","100","7","14","0","0","299","299","8","89704","162","41","93","0","0","269778","false","false","false","33","28","15","14","18","14","12","0","0","0","0","0","0","0"
"1","1","0.1","true","1","false","2","50","10","30","false","180","20.5","6.7","16","8.21","1.6","1.4","false","4","75","true","0.1","0","false","1","50","100","false","0","7","100","100","100","100","100","false","0","100","7","14","0","0","299","299","5","89805","116","29","50","0","0","269660","false","false","false","10","24","15","17","5","7","1","0","0","0","0","0","0","0"
"8","1","0.1","true","1","false","2","50","10","30","false","180","20.5","6.7","16","8.21","1.6","1.4","false","4","75","true","0.1","0","false","1","50","100","false","0","7","100","100","100","100","100","false","0","100","7","14","0","0","299","299","9","89648","194","52","106","0","0","269778","false","false","false","37","35","17","23","19","14","13","0","0","0","0","0","0","0"
"1","1","0.1","true","1","false","2","50","10","30","false","180","20.5","6.7","16","8.21","1.6","1.4","false","4","75","true","0.1","0","false","1","50","100","false","0","7","100","100","100","100","100","false","0","100","7","14","0","0","299","299","6","89754","146","34","66","0","0","269660","false","false","false","13","31","19","19","8","7","3","0","0","0","0","0","0","0"
