"BehaviorSpace results (NetLogo 6.1.1)"
"model.nlogo"
"vary-p-infect"
"07/10/2020 16:27:27:844 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","initial-inf","duration","imposed-lockdown?","personal-protection?","isolate-symptomatics?","test-and-trace?","shield-vulnerable?","closed-system?","lose-immunity?","lockdown-threshold","protection-threshold","isolate-threshold","testtrace-threshold","shield-threshold","lockdown-strictness","protection-strength","isolation-strictness","travel-strictness","shield-adherance","sym-test-coverage","asym-test-coverage","p-infect-init","p-death","z-contact-min","asym-infections","incubation-mean","incubation-stdev","recovery-mean","recovery-stdev","death-mean","death-stdev","immunity-mean","iso-countdown-max","mean-iso-reduction","min-pxcor","min-pycor","max-pxcor","max-pycor","[step]","count susceptibles","count exposeds","count symptomatics","count asymptomatics","count recovereds","count deads","count.locked","currently-locked?","num-contacts","dead-0-29","dead-30-59","dead-60+","count-infecteds-0-29","count-infecteds-30-59","count-infecteds-60+"
"1","0.1","0.083","false","false","false","false","false","true","false","1","1","1","1","1","0","0","0","100","0","0","0","3","2.5","2","60","1.6","0.4","20.5","6.7","16","8.21","365","14","1","0","0","299","299","0","89910","90","0","0","0","0","0","false","0","0","0","0","0","0","0"
"1","0.1","0.083","false","false","false","false","false","true","false","1","1","1","1","1","0","0","0","100","0","0","0","3","2.5","2","60","1.6","0.4","20.5","6.7","16","8.21","365","14","1","0","0","299","299","1","89910","81","0","9","0","0","0","false","538550","0","0","0","2","1","0"
"1","0.1","0.083","false","false","false","false","false","true","false","1","1","1","1","1","0","0","0","100","0","0","0","3","2.5","2","60","1.6","0.4","20.5","6.7","16","8.21","365","14","1","0","0","299","299","2","89907","69","0","24","0","0","0","false","538550","0","0","0","5","4","0"
"1","0.1","0.083","false","false","false","false","false","true","false","1","1","1","1","1","0","0","0","100","0","0","0","3","2.5","2","60","1.6","0.4","20.5","6.7","16","8.21","365","14","1","0","0","299","299","3","89900","64","3","33","0","0","0","false","538550","0","0","0","10","6","1"
"1","0.1","0.083","false","false","false","false","false","true","false","1","1","1","1","1","0","0","0","100","0","0","0","3","2.5","2","60","1.6","0.4","20.5","6.7","16","8.21","365","14","1","0","0","299","299","4","89881","64","8","47","0","0","0","false","538550","0","0","0","13","13","3"
"1","0.1","0.083","false","false","false","false","false","true","false","1","1","1","1","1","0","0","0","100","0","0","0","3","2.5","2","60","1.6","0.4","20.5","6.7","16","8.21","365","14","1","0","0","299","299","5","89867","67","15","51","0","0","0","false","538550","0","0","0","15","27","3"
"1","0.1","0.083","false","false","false","false","false","true","false","1","1","1","1","1","0","0","0","100","0","0","0","3","2.5","2","60","1.6","0.4","20.5","6.7","16","8.21","365","14","1","0","0","299","299","6","89849","66","26","59","0","0","0","false","538550","0","0","0","26","35","9"
"1","0.1","0.083","false","false","false","false","false","true","false","1","1","1","1","1","0","0","0","100","0","0","0","3","2.5","2","60","1.6","0.4","20.5","6.7","16","8.21","365","14","1","0","0","299","299","7","89824","71","32","73","0","0","0","false","538550","0","0","0","34","42","13"
"1","0.1","0.083","false","false","false","false","false","true","false","1","1","1","1","1","0","0","0","100","0","0","0","3","2.5","2","60","1.6","0.4","20.5","6.7","16","8.21","365","14","1","0","0","299","299","8","89795","86","36","83","0","0","0","false","538550","0","0","0","37","48","15"
"1","0.1","0.083","false","false","false","false","false","true","false","1","1","1","1","1","0","0","0","100","0","0","0","3","2.5","2","60","1.6","0.4","20.5","6.7","16","8.21","365","14","1","0","0","299","299","9","89753","113","40","94","0","0","0","false","538550","0","0","0","42","53","19"
