"BehaviorSpace results (NetLogo 6.1.1)"
"model.nlogo"
"is-opt"
"07/24/2020 16:17:41:591 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","initial-inf","duration","imposed-lockdown?","personal-protection?","isolate-symptomatics?","test-and-trace?","shield-vulnerable?","closed-system?","lose-immunity?","lockdown-threshold","protection-threshold","isolate-threshold","testtrace-threshold","shield-threshold","lockdown-strictness","protection-strength","isolation-strictness","travel-strictness","shield-adherance","sym-test-coverage","asym-test-coverage","p-infect-init","p-death","z-contact-min","asym-infections","incubation-mean","incubation-stdev","recovery-mean","recovery-stdev","death-mean","death-stdev","immunity-mean","iso-countdown-max","mean-iso-reduction","min-pxcor","min-pycor","max-pxcor","max-pycor","[step]","count susceptibles","count exposeds","count symptomatics","count asymptomatics","count recovereds","count deads","count.locked","currently-locked?","num-contacts","dead-0-29","dead-30-59","dead-60+","count-infecteds-0-29","count-infecteds-30-59","count-infecteds-60+"
"1","0.1","0.5","false","false","true","false","false","false","false","1","1","0","1","1","0","0","75","99","0","0","0","10","2.5","2","60","1.6","0.4","20.5","6.7","16","8.21","365","14","1","0","0","299","299","0","89910","90","0","0","0","0","0","false","0","0","0","0","0","0","0"
"1","0.1","0.5","false","false","true","false","false","false","false","1","1","0","1","1","0","0","75","99","0","0","0","10","2.5","2","60","1.6","0.4","20.5","6.7","16","8.21","365","14","1","0","0","299","299","1","89910","79","0","11","0","0","0","false","538578","0","0","0","1","3","1"
"1","0.1","0.5","false","false","true","false","false","false","false","1","1","0","1","1","0","0","75","99","0","0","0","10","2.5","2","60","1.6","0.4","20.5","6.7","16","8.21","365","14","1","0","0","299","299","2","89899","76","0","25","0","0","0","false","538578","0","0","0","4","4","6"
"1","0.1","0.5","false","false","true","false","false","false","false","1","1","0","1","1","0","0","75","99","0","0","0","10","2.5","2","60","1.6","0.4","20.5","6.7","16","8.21","365","14","1","0","0","299","299","3","89871","85","1","43","0","0","1","false","538578","0","0","0","11","10","8"
"1","0.1","0.5","false","false","true","false","false","false","false","1","1","0","1","1","0","0","75","99","0","0","0","10","2.5","2","60","1.6","0.4","20.5","6.7","16","8.21","365","14","1","0","0","299","299","4","89818","120","4","58","0","0","4","false","538566","0","0","0","17","13","11"
"1","0.1","0.5","false","false","true","false","false","false","false","1","1","0","1","1","0","0","75","99","0","0","0","10","2.5","2","60","1.6","0.4","20.5","6.7","16","8.21","365","14","1","0","0","299","299","5","89754","153","11","82","0","0","11","false","538530","0","0","0","26","26","15"
"1","0.1","0.5","false","false","true","false","false","false","false","1","1","0","1","1","0","0","75","99","0","0","0","10","2.5","2","60","1.6","0.4","20.5","6.7","16","8.21","365","14","1","0","0","299","299","6","89671","210","15","104","0","0","15","false","538446","0","0","0","34","34","20"
"1","0.1","0.5","false","false","true","false","false","false","false","1","1","0","1","1","0","0","75","99","0","0","0","10","2.5","2","60","1.6","0.4","20.5","6.7","16","8.21","365","14","1","0","0","299","299","7","89594","245","24","137","0","0","24","false","538398","0","0","0","43","50","27"
"1","0.1","0.5","false","false","true","false","false","false","false","1","1","0","1","1","0","0","75","99","0","0","0","10","2.5","2","60","1.6","0.4","20.5","6.7","16","8.21","365","14","1","0","0","299","299","8","89502","294","37","167","0","0","37","false","538291","0","0","0","58","65","36"
"1","0.1","0.5","false","false","true","false","false","false","false","1","1","0","1","1","0","0","75","99","0","0","0","10","2.5","2","60","1.6","0.4","20.5","6.7","16","8.21","365","14","1","0","0","299","299","9","89398","340","46","216","0","0","46","false","538141","0","0","0","71","77","49"
